date,followers,engagement,posts
01-01-2024,10,2.5,1
02-01-2024,53,2.6,3
03-01-2024,110,2.7,3
04-01-2024,70,2.2,1
05-01-2024,75,2.9,4
06-01-2024,50,3,3
07-01-2024,107,3.1,1
08-01-2024,135,2.8,7
09-01-2024,102,3.3,3
10-01-2024,188,3.4,7
11-01-2024,28,3,2
12-01-2024,88,0,4
13-01-2024,110,2.1,2
14-01-2024,58,3.1,5
15-01-2024,72,2,1
16-01-2024,66,2,3
17-01-2024,55,2.5,6
18-01-2024,56,3.4,2
19-01-2024,33,3,5
20-01-2024,44,1,2
21-01-2024,198,3.2,1
22-01-2024,66,2.2,3
23-01-2024,55,2,5
24-01-2024,44,2.1,7
25-01-2024,110,5,6
26-01-2024,108,1.5,2
27-01-2024,66,1.9,1
28-01-2024,166,4,6
29-01-2024,180,2,4
30-01-2024,200,3,3
